product_id,name,ratings,price,os,colour,ram,product_dimensions,connectivity_technologies,special_features,date_now
167,Samsung Galaxy Grand Prime 4G SM-G531F (Grey),3.5 out of 5 stars,8850,Android,Grey,1 GB,14.5 x 0.9 x 7.2 cm,"GSM, (850/900/1800/1900 MHz), 3G, (850/900/1900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Geomagnetic sensor, E-mail, Expandable Memory: 64GB",2016-03-27
174,"Arya A1 Plus (White-Silver, 9.5mm)",3.8 out of 5 stars,4999,"Android, Kitkat",White-Silver,1 GB,13.3 x 1 x 6.6 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (2100 MHz), EDGE, GPRS, WiFi 802.11b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-03-27
178,Micromax Canvas Selfie A255 (White),3.8 out of 5 stars,8590,"Android, Kitkat",White,2 GB,18.6 x 3 x 17.2 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (900/2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Light sensor, Gravity sensor, Proximity sensor, E-mail, Expandable Memory: 32GB",2016-03-27
184,Panasonic Eluga Z (Ivory White),3.5 out of 5 stars,8995,Android,Ivory White,2 GB,14.2 x 0.7 x 7.1 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (900/2100 MHz)","Video Calls, Dual SIM, GPS, Music Player, Video Player, Light sensor, Proximity sensor, eCompass, Accelerometer, E-mail, Expandable Memory: 32GB",2016-03-27
185,Gionee S Plus (Dark Blue),3.8 out of 5 stars,16690,Android,Dark Blue,3 GB,15.5 x 0.8 x 7.6 cm,"GSM, (850/900/1800/1900 MHz), 3G, (1900/900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi 802.11 b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, Proximity sensor, G sensor, eCompass, Motion sensor, Light sensor, E-mail",2016-03-27
187,"Samsung Galaxy S6 Edge (White, 32GB)",3.3 out of 5 stars,40900,"Android, Lollipop",White,3 GB,14.2 x 0.7 x 7 cm,"GSM, (850/900/1800/1900 MHz), 3G, HSDPA, (850/900/1900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi 802.11 a/b/g/n/ac","Video Calls, Single SIM, GPS, Music Player, Video Player, Accelerometer, Gyro sensor, Proximity sensor, eCompass, Barometer, Heart rate sensor, SPO2 sensor, E-mail",2016-03-27
190,Salora Njoy E4 (Black),3.2 out of 5 stars,2799,"Android, Kitkat",Black,512 MB,17 x 6 x 10 cm,"GSM, 3G, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, E-mail, Expandable Memory: 32GB",2016-03-27
192,"Micromax Canvas Hue 2 A316 (White/Gold, 16 GB)",3.8 out of 5 stars,8018,Android,White-Gold,2 GB,13 x 3.5 x 8.5 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (900/2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-03-27
198,Karbonn A11+ (Black),2.8 out of 5 stars,5800,"Android, Ice Cream Sandwich, Android^Ice Cream Sandwich",BLACK,0.50 GB,17.6 x 9.6 x 5 cm,HSDPA,"Expandable Memory Upto 32GB, MMS Enabled|Phone Security|Live Motion Wallpapers|Kingsoft Office|G-Sensor Based Games",2016-03-27
199,Intex Aqua 3G Strong (Silver),2.4 out of 5 stars,2679,Android,Silver,256 MB,12.3 x 1 x 6.3 cm,"GSM, 3G, HSDPA, GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-03-27
200,Micromax Bolt Q324 (Silver),2.9 out of 5 stars,3499,Android,Silver,512 MB,14.4 x 5.4 x 8.6 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (2100 MHz), GPRS, EDGE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Motion sensor, E-mail, Expandable Memory: 32GB",2016-03-27
204,Panasonic Eluga Z (Midnight Blue),3.5 out of 5 stars,8999,Android,Midnight Blue,2 GB,14.2 x 0.7 x 7.1 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (900/2100 MHz)","Video Calls, Dual SIM, GPS, Music Player, Video Player, Light sensor, Proximity sensor, eCompass, Accelerometer, E-mail, Expandable Memory: 32GB",2016-03-27
214,Karbonn S15 Plus (Grey-Silver),1 out of 5 stars,2900,Android,Grey-Silver,512 MB,12.7 x 1 x 6.4 cm,"GSM, 3G, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio",2016-03-27
