idd,name,ratings,price,condition,mom
179,ALLMOBILEPHONES,3.5 out of 5 stars,"Rs. 5,580.00",New,2016-04-10
179,Mobile Hub M,5 out of 5 stars,"Rs. 7,200.00",New,2016-04-10
180,Anand TECH,4 out of 5 stars,"Rs. 23,499.00",New,2016-04-10
182,TELECOM -V-,3 out of 5 stars,"Rs. 17,450.00",New,2016-04-10
182,MTB RISES,1 out of 5 stars,"Rs. 18,499.00",New,2016-04-10
183,intouch2016,3 out of 5 stars,"Rs. 6,553.00",New,2016-04-10
184,SKYOC,4 out of 5 stars,"Rs. 9,386.00",New,2016-04-10
184,Anant Digital,4 out of 5 stars,"Rs. 9,734.00",New,2016-04-10
184,Digital mobile collection,1 out of 5 stars,"Rs. 10,605.00",New,2016-04-10
184,KM Mobiles,1 out of 5 stars,"Rs. 20,990.00",New,2016-04-10
185,Om Sai ram Ji,4 out of 5 stars,"Rs. 16,999.00",New,2016-04-10
185,Mobile Hub M,5 out of 5 stars,"Rs. 17,200.00",New,2016-04-10
185,Gupta Telecom D,1 out of 5 stars,"Rs. 17,500.00",New,2016-04-10
186,mobile mantra,1 out of 5 stars,"Rs. 22,980.00",New,2016-04-10
186,Chandansingh Rajput,1 out of 5 stars,"Rs. 23,299.00",New,2016-04-10
187,Veestyle,2.5 out of 5 stars,"Rs. 40,700.00",New,2016-04-10
187,Sabrimala Leasing and Holdings Limited_SLP,4 out of 5 stars,"Rs. 40,900.00",New,2016-04-10
187,Unique@Seller-FBA-SLP,4.5 out of 5 stars,"Rs. 40,900.00",New,2016-04-10
187,ITWORLD_CHE_SLC,4.5 out of 5 stars,"Rs. 40,900.00",New,2016-04-10
187,Ojas_BAN_SLC,5 out of 5 stars,"Rs. 40,900.00",New,2016-04-10
187,MANISH MOBILE,2 out of 5 stars,"Rs. 57,400.00",New,2016-04-10
190,Silcare,4 out of 5 stars,"Rs. 2,799.00",New,2016-04-10
191,Bansal Mobile Care,4.5 out of 5 stars,"Rs. 5,750.00",New,2016-04-10
191,SKYOC,4 out of 5 stars,"Rs. 5,712.00",New,2016-04-10
192,PUSHPA RETAIL,4 out of 5 stars,"Rs. 7,889.00",New,2016-04-10
192,intouch2016,3 out of 5 stars,"Rs. 11,600.00",New,2016-04-10
192,Maniacstore,4 out of 5 stars,"Rs. 12,499.00",New,2016-04-10
193,indian dzire,3.5 out of 5 stars,"Rs. 9,958.00",New,2016-04-10
197,DEALS OF D DAY,4 out of 5 stars,"Rs. 31,999.00",New,2016-04-10
197,Winter Park,4 out of 5 stars,"Rs. 32,749.00",New,2016-04-10
197,deccanhubb,3 out of 5 stars,"Rs. 32,750.00",New,2016-04-10
197,Centre One,4.5 out of 5 stars,"Rs. 33,685.00",New,2016-04-10
197,BestBuy Inc.,4 out of 5 stars,"Rs. 33,685.00",New,2016-04-10
197,BIG RETAIL,4 out of 5 stars,"Rs. 35,890.00",New,2016-04-10
200,New Mobile Store,1 out of 5 stars,"Rs. 4,000.00",New,2016-04-10
200,Aster Enterprises,1 out of 5 stars,"Rs. 4,699.00",New,2016-04-10
204,DealsDray,4 out of 5 stars,"Rs. 9,379.00",New,2016-04-10
204,SKYOC,4 out of 5 stars,"Rs. 9,333.00",New,2016-04-10
204,ALLMOBILEPHONES,3.5 out of 5 stars,"Rs. 13,000.00",New,2016-04-10
205,SSM cbe,1 out of 5 stars,"Rs. 3,200.00",New,2016-04-10
206,I-Smart,2.5 out of 5 stars,"Rs. 5,830.00",New,2016-04-10
207,Highly Recommended,3.5 out of 5 stars,"Rs. 7,419.00",New,2016-04-10
211,FortuneMobile,3.5 out of 5 stars,"Rs. 24,250.00",New,2016-04-10
211,PEE PEE MARKETING,1 out of 5 stars,"Rs. 24,290.00",New,2016-04-10
211,deccanhubb,3 out of 5 stars,"Rs. 24,500.00",New,2016-04-10
211,Seller No. 1,4 out of 5 stars,"Rs. 25,490.00",New,2016-04-10
212,Sevenmantras,1 out of 5 stars,"Rs. 2,990.00",New,2016-04-10
212,senorita-fashion,5 out of 5 stars,"Rs. 3,299.00",New,2016-04-10
212,S.V.MOBILES,3 out of 5 stars,"Rs. 3,310.00",New,2016-04-10
213,I-Smart,2.5 out of 5 stars,"Rs. 3,739.00",New,2016-04-10
216,TELECOM -V-,3 out of 5 stars,"Rs. 4,750.00",New,2016-04-10
216,shoppway,1 out of 5 stars,"Rs. 4,990.00",New,2016-04-10
