SerialN,Name,Ratings,Price,OS,Colour,RAM,Product Dimensions,Connectivity technologies,Special features,Date
84,,,,"Android, Jellybean",Grey,3 GB,11.5 x 1.2 x 6.1 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), EDGE, GPRS, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail, Expandable Memory: 32GB",2016-04-09
85,,,,,,,,,,2016-04-09
86,,,,,,,,,,2016-04-09
87,,1 out of 5 stars,"4,999.00","Android, Kitkat",Black,1 GB,16.5 x 5.7 x 9.2 cm,"GSM, 3G, GPRS, WiFi 802.11 b/g/n","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Proximity sensor, Gravity sensor, Light sensor, E-mail, Expandable Memory: 32GB",2016-04-09
88,,4.5 out of 5 stars,"52,000.00",Android,Gold,,15.4 x 0.8 x 7.6 cm,"GSM, HSPA, 3G, LTE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Fingerprint sensor, Ambient light sensor, Proximity sensor, E-mail",2016-04-09
89,,4.5 out of 5 stars,"7,699.00",Android,Champagne,,0.9 x 7.2 x 14.5 cm,,"HD IPS display, Single LED Flash, Auto Focus, 5MP Secondary Camera, 1280 x 720 - HD Screen Resolution, 4G LTE",2016-04-09
90,,5 out of 5 stars,,android,gold,1 GB,14.3 x 7.4 x 0.9 cm,,"Rear camera with LED flash, Secondary camera with flash, Talk Time 9.5 hours (3G), 13.5 hours (2G), Standby Time 108 hours (3G), 162 hours (2G), Proximity, E-Compass, Motion Sensor, Dual SIM, GSM + WCDMA, 3G Bands WCDMA-900/2100 MHz, 2G Bands GSM850/900/1800/1900",2016-04-09
91,,2.8 out of 5 stars,"10,778.00",Android,Red,2 GB,14.4 x 0.7 x 7 cm,"GSM, (900/1800 MHz), 3G, HSDPA, EDGE, GPRS, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, E-mail",2016-04-09
92,,4.1 out of 5 stars,"3,599.00",Android,White,512 MB,12.6 x 1.1 x 6.3 cm,"GSM, (900/1800 MHz), 3G, WCDMA, (2100 MHz), EDGE, GPRS, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, E-mail, Expandable Memory: 32GB",2016-04-09
93,,4.7 out of 5 stars,,Android,white,0.50 GB,15.2 x 7.6 x 15.2 cm,HSDPA,5 mp camera,2016-04-09
94,,3.2 out of 5 stars,"9,657.00",Android,White,16 GB,14.1 x 0.8 x 7.1 cm,"GSM, (850/900/1800/1900 MHz), 3G, UMTS, (850/900/1900/2100 MHz), 4G LTE, FDD, (800/850/900/1800/2100/2600 MHz), TDD, (2300/2400 MHz), GPRS, EDGE, HSPA+, WiFi 802.11 b/g/n","Dual SIM, GPS, Music Player, Video Player, FM Radio, G sensor, Proximity sensor, Light sensor, Vibrator sensor, E-mail",2016-04-09
95,,1.8 out of 5 stars,,Android,Deep Black,2 GB,13.7 x 0.8 x 7 cm,"GSM, (850/900/1800/1900 MHz), GPRS, EDGE, 3G, HSPA, (850/900/1900/2100 MHz)","Video Calls, GPS, Music Player, Video Player, Accelerometer sensor, Geomagnetic sensor, Gyro sensor, Light sensor, Pressure sensor, Proximity sensor, Gesture sensor, E-mail",2016-04-09
96,,3.8 out of 5 stars,,"Android, Jellybean",Red,2 GB,16.7 x 1 x 8.4 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (2100 MHz), EDGE, GPRS","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerator, eCompass, Motion sensor, Proximity sensor, Hall sensor, Gyro sensor, E-mail, Expandable Memory: 64GB",2016-04-09
97,,1 out of 5 stars,,"Android, KitKat, Android^KitKat",White,256 MB,15.2 x 9.7 x 6.1 cm,HSDPA,"Expandable Memory Upto 32GB, E-Mail|Music Player|Video Player",2016-04-09
98,,,,Android,Blue,512 MB,12.5 x 6.4 x 1.1 cm,WiFi,"Bluetooth Tethering, USB, Primary Camera, Expandable Memory, GPS, Wifi",2016-04-09
99,,3 out of 5 stars,,"Android, Jellybean",Black,256 MB,12.5 x 1 x 6.4 cm,"GSM, (900/1800 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, FM Radio, G sensor, E-mail, Dual SIM, Expandable Memory: 32GB",2016-04-09
100,,3.5 out of 5 stars,"5,599.00","Android, KitKat, Android^KitKat",,1 GB,19 x 10.9 x 5.6 cm,HSDPA,"E-Mail, Music Player, Video Player",2016-04-09
101,,3.5 out of 5 stars,"9,580.00",Android,Arctic White,512 MB,13.1 x 1.1 x 6.8 cm,"GSM, (850/900/1800/1900 MHz), UMTS, 3G, (2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, Dual SIM, E-mail, Accelerometer, Expandable Memory: 32GB",2016-04-09
102,,3.5 out of 5 stars,"7,630.00",Android,White,,14.5 x 0.4 x 0.9 cm,"GSM, (900/1800 MHz), WCDMA, (900/2100 MHz), 4G LTE, TDD B40, FDD 3, 5, GPRS, EDGE, HSPA, HSPA+","Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Light sensor, Proximity sensor, E-mail",2016-04-09
103,,3.9 out of 5 stars,,"Android, Kitkat",Black,1 GB,13.7 x 0.9 x 6.9 cm,"HSPA+, WiFi","Video Calls, GPS, Music Player, Video Player, E-mail",2016-04-09
104,,,,Android,Silver,,13.1 x 0.9 x 6.8 cm,"GSM, (850/900/1800/1900 MHz), 3G, HSDPA, (850/900/1900/2100 MHz), 4G LTE, GPRS, EDGE, WiFi 802.11 b/g/n","Dual SIM, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, E-mail",2016-04-09
105,,3 out of 5 stars,"2,249.00",Android,Black-Grey,,12.4 x 1 x 6.5 cm,"GSM, (900/1800 MHz), GPRS, EDGE, WiFi 802.11 b/g/n","Dual SIM, Music Player, Video Player, FM Radio, E-mail",2016-04-09
106,,,,Android,White,,13.4 x 1 x 6.7 cm,WiFi,"Dual SIM, Android 4.4 kitkat, Screen Size 5'' Q HD 540x960 OPS Screen, RAM 512 MB & 1 GB ROM, 2800 Mah Battery",2016-04-09
107,,1 out of 5 stars,,"Android, Jellybean",Orange,1 GB,14.4 x 1 x 7.7 cm,"GSM, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer sensor, Proximity sensor, eCompass, E-mail, Expandable Memory: 32GB",2016-04-09
108,,,,,,,,,,2016-04-09
109,,3.8 out of 5 stars,"7,999.00","Android, Jellybean",White,1 GB,18 x 4.4 x 13.6 cm,"GSM, (900/1800 MHz), WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Proximity sensor, Gravity sensor, E-mail, Expandable Memory: 32GB",2016-04-09
110,,1 out of 5 stars,,"Android, Kitkat",Black,256 MB,14.6 x 8.6 x 5.4 cm,"GSM, GPRS, EDGE, WiFi","Music Player, Video Player, FM Radio, Video Calls, GPS, G sensor, Proximity sensor, E-mail, Dual SIM, Expandable Memory: 32GB",2016-04-09
111,,4 out of 5 stars,"36,895.00","Android, Kitkat",Black,3 GB,15.4 x 0.9 x 7.9 cm,"GSM, (850/900/1800/1900 MHz), HSPA+, 3G, (850/900/1900/2100 MHz), 4G LTE, 4G, WiFi 802.11 a/b/g/n/ac","Video Calls, Single SIM, GPS, Music Player, Video Player, Gesture sensor, Accelerometer, Geo Magnetic sensor, Gyroscope, RGB ambient light sensor, Proximity sensor, Barometer, Hall Sensor, Finger Scanner, UV sensor, HRM sensor, E-mail, Expandable Memory: 64GB",2016-04-09
112,,,"4,499.00",Android,black,,,GSM,"800 x 480 Pixels, 4 GB (Internal) + 1.12 GB (User Memory), MicroSD upto 32 GB, External:3.2MP, 2048x1536 Pix; Internal:1.3MP, 1280x1024 Pix, GPRS, EDGE, WAP",2016-04-09
113,,3.6 out of 5 stars,,"Android, Lollipop",Black,2 GB,14.3 x 7 x 0.8 cm,"GSM, HSPA+, LTE, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gyroscope, Proximity sensor, Ambient light sensor, eCompass, E-mail",2016-04-09
114,,4 out of 5 stars,"8,599.00","Android, Kitkat",Grey-Silver,2 GB,14.4 x 0.8 x 7.2 cm,"GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (900/2100 MHz), HSPA, WiFi","Video Calls, Dual SIM, GPS, Music Player, Video Player, E-mail, FM Radio, Light sensor, Gravity sensor, Proximity sensor, Expandable Memory: 32GB",2016-04-09
115,,2.5 out of 5 stars,,"Android, Jellybean",Black,1 GB,14.3 x 0.7 x 7 cm,"GSM, (850/900/1800/1900 MHz), (2100 MHz), GPRS, EDGE, WiFi","Music Player, Video Player, GPS, G-Sensor, E-mail, NFC, E-compass, Light and proximity sensor, Gyro meter",2016-04-09
